지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1994-05-03 02:00,.1,0
90,속초,1994-05-03 03:00,0,0
90,속초,1994-05-03 04:00,0,0
90,속초,1994-05-03 05:00,0,0
90,속초,1994-05-03 06:00,0,0
90,속초,1994-05-03 07:00,0,0
90,속초,1994-05-03 16:00,1.4,0
90,속초,1994-05-03 17:00,2.8,0
90,속초,1994-05-03 18:00,4.2,0
90,속초,1994-05-03 19:00,3.9,0
90,속초,1994-05-03 20:00,4.2,0
90,속초,1994-05-03 21:00,4.1,0
90,속초,1994-05-03 22:00,3.9,0
90,속초,1994-05-03 23:00,1.1,0
90,속초,1994-05-04 00:00,1.3,0
90,속초,1994-05-04 01:00,0,0
90,속초,1994-05-04 02:00,0,0
90,속초,1994-05-07 18:00,.1,0
90,속초,1994-05-10 20:00,0,0
90,속초,1994-05-11 08:00,0,0
90,속초,1994-05-11 09:00,.2,0
90,속초,1994-05-11 10:00,.3,0
90,속초,1994-05-11 11:00,.1,0
90,속초,1994-05-14 14:00,.2,0
90,속초,1994-05-14 15:00,.4,0
90,속초,1994-05-14 16:00,1.1,0
90,속초,1994-05-14 17:00,1.3,0
90,속초,1994-05-14 18:00,1,0
90,속초,1994-05-14 19:00,2,0
90,속초,1994-05-14 20:00,1.8,0
90,속초,1994-05-14 21:00,2.7,0
90,속초,1994-05-14 22:00,4.2,0
90,속초,1994-05-14 23:00,3.5,0
90,속초,1994-05-15 00:00,3.8,0
90,속초,1994-05-15 01:00,7.5,0
90,속초,1994-05-15 02:00,4.5,0
90,속초,1994-05-15 03:00,3,0
90,속초,1994-05-15 04:00,1.1,0
90,속초,1994-05-15 05:00,.1,0
90,속초,1994-05-15 06:00,2,0
90,속초,1994-05-15 07:00,2,0
90,속초,1994-05-15 08:00,1.1,0
90,속초,1994-05-15 09:00,0,0
90,속초,1994-05-15 17:00,.2,0
90,속초,1994-05-15 18:00,.3,0
90,속초,1994-05-15 19:00,1.9,0
90,속초,1994-05-15 20:00,.5,0
90,속초,1994-05-15 21:00,0,0
90,속초,1994-05-15 22:00,0,0
90,속초,1994-05-25 00:00,.3,0
90,속초,1994-05-25 01:00,.6,0
90,속초,1994-05-25 02:00,.7,0
90,속초,1994-05-25 03:00,.5,0
90,속초,1994-05-25 04:00,.2,0
90,속초,1994-05-25 05:00,6,0
90,속초,1994-05-25 06:00,6.6,0
90,속초,1994-05-25 07:00,3.2,0
90,속초,1994-05-25 08:00,2.5,0
90,속초,1994-05-25 09:00,.1,0
90,속초,1994-05-25 10:00,0,0
90,속초,1994-06-03 06:00,.3,0
90,속초,1994-06-03 07:00,.2,0
90,속초,1994-06-04 13:00,0,0
90,속초,1994-06-04 14:00,0,0
90,속초,1994-06-04 21:00,0,0
90,속초,1994-06-04 22:00,0,0
90,속초,1994-06-09 20:00,.5,0
90,속초,1994-06-09 21:00,0,0
90,속초,1994-06-18 08:00,.1,0
90,속초,1994-06-18 09:00,0,0
90,속초,1994-06-18 18:00,.2,0
90,속초,1994-06-18 19:00,.1,0
90,속초,1994-06-18 20:00,.9,0
90,속초,1994-06-18 21:00,.3,0
90,속초,1994-06-18 22:00,.4,0
90,속초,1994-06-18 23:00,1,0
90,속초,1994-06-19 00:00,.4,0
90,속초,1994-06-19 01:00,.2,0
90,속초,1994-06-19 02:00,.2,0
90,속초,1994-06-19 03:00,.3,0
90,속초,1994-06-19 04:00,1.4,0
90,속초,1994-06-19 05:00,.8,0
90,속초,1994-06-19 06:00,.5,0
90,속초,1994-06-19 07:00,.3,0
90,속초,1994-06-19 08:00,.2,0
90,속초,1994-06-19 09:00,.1,0
90,속초,1994-06-19 10:00,.1,0
90,속초,1994-06-19 11:00,.6,0
90,속초,1994-06-19 12:00,.1,0
90,속초,1994-06-19 13:00,0,0
90,속초,1994-06-19 18:00,.7,0
90,속초,1994-06-19 19:00,.1,0
90,속초,1994-06-19 21:00,0,0
90,속초,1994-06-19 22:00,.2,0
90,속초,1994-06-20 00:00,.2,0
90,속초,1994-06-23 03:00,0,0
90,속초,1994-06-23 04:00,1.5,0
90,속초,1994-06-23 05:00,.5,0
90,속초,1994-06-23 06:00,1.5,0
90,속초,1994-06-23 07:00,2,0
90,속초,1994-06-23 08:00,3,0
90,속초,1994-06-23 09:00,6,0
90,속초,1994-06-23 10:00,4,0
90,속초,1994-06-23 11:00,1,0
90,속초,1994-06-23 12:00,0,0
90,속초,1994-06-23 13:00,1,0
90,속초,1994-06-23 14:00,1.5,0
90,속초,1994-06-23 15:00,.3,0
90,속초,1994-06-23 16:00,0,0
90,속초,1994-06-23 17:00,0,0
90,속초,1994-06-23 18:00,.4,0
90,속초,1994-06-23 19:00,.1,0
90,속초,1994-06-23 20:00,0,0
90,속초,1994-06-25 15:00,0,0
90,속초,1994-06-25 16:00,.1,0
90,속초,1994-06-25 17:00,.6,0
90,속초,1994-06-25 18:00,0,0
90,속초,1994-06-26 02:00,.4,0
90,속초,1994-06-26 03:00,.1,0
90,속초,1994-06-26 04:00,.3,0
90,속초,1994-06-26 05:00,.4,0
90,속초,1994-06-26 06:00,.1,0
90,속초,1994-06-26 07:00,0,0
90,속초,1994-06-26 08:00,1.1,0
90,속초,1994-06-26 09:00,.1,0
90,속초,1994-06-27 21:00,0,0
90,속초,1994-06-27 22:00,0,0
90,속초,1994-06-27 23:00,0,0
90,속초,1994-06-28 00:00,0,0
90,속초,1994-06-28 21:00,.7,0
90,속초,1994-06-28 22:00,12.3,0
90,속초,1994-06-28 23:00,0,0
90,속초,1994-06-30 05:00,.8,0
90,속초,1994-06-30 06:00,.5,0
90,속초,1994-06-30 07:00,.7,0
90,속초,1994-06-30 08:00,1.3,0
90,속초,1994-06-30 09:00,6.7,0
90,속초,1994-06-30 10:00,1.3,0
90,속초,1994-06-30 11:00,.7,0
90,속초,1994-06-30 12:00,.2,0
90,속초,1994-06-30 13:00,0,0
90,속초,1994-06-30 14:00,.1,0
90,속초,1994-06-30 15:00,.7,0
90,속초,1994-06-30 16:00,1.2,0
90,속초,1994-06-30 17:00,0,0
90,속초,1994-06-30 18:00,0,0
90,속초,1994-06-30 21:00,0,0
90,속초,1994-06-30 22:00,2.8,0
90,속초,1994-06-30 23:00,.2,0
90,속초,1994-07-01 00:00,2.7,0
90,속초,1994-07-01 01:00,3.2,0
90,속초,1994-07-01 02:00,0,0
90,속초,1994-07-01 05:00,.4,0
90,속초,1994-07-01 06:00,.7,0
90,속초,1994-07-01 07:00,3.4,0
90,속초,1994-07-01 08:00,8.3,0
90,속초,1994-07-01 09:00,1.3,0
90,속초,1994-07-01 10:00,5.1,0
90,속초,1994-07-01 11:00,4,0
90,속초,1994-07-01 12:00,.1,0
90,속초,1994-07-03 16:00,0,0
90,속초,1994-07-03 17:00,.2,0
90,속초,1994-07-05 08:00,.5,0
90,속초,1994-07-05 09:00,2.2,0
90,속초,1994-07-05 10:00,2.2,0
90,속초,1994-07-05 11:00,2,0
90,속초,1994-07-05 12:00,.4,0
90,속초,1994-07-06 07:00,0,0
90,속초,1994-07-06 08:00,1,0
90,속초,1994-07-06 09:00,.5,0
90,속초,1994-07-07 00:00,.5,0
90,속초,1994-07-07 01:00,.3,0
