지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1995-01-09 09:00,0,0
90,속초,1995-01-09 12:00,0,0
90,속초,1995-01-22 06:00,2.3,0
90,속초,1995-01-22 09:00,5.4,0
90,속초,1995-01-22 12:00,2.1,0
90,속초,1995-01-22 15:00,1,0
90,속초,1995-01-22 18:00,.2,0
90,속초,1995-02-02 09:00,.1,0
90,속초,1995-02-02 12:00,.1,0
90,속초,1995-02-02 15:00,.3,0
90,속초,1995-02-02 18:00,1,0
90,속초,1995-02-02 21:00,0,0
90,속초,1995-02-09 09:00,0,0
90,속초,1995-02-09 12:00,.7,0
90,속초,1995-02-09 15:00,.4,0
90,속초,1995-02-19 21:00,1.8,0
90,속초,1995-02-20 00:00,3.6,0
90,속초,1995-02-20 03:00,4.2,0
90,속초,1995-02-20 06:00,4.4,0
90,속초,1995-02-20 09:00,3.5,0
90,속초,1995-02-20 12:00,1.1,0
90,속초,1995-02-20 15:00,1.2,0
90,속초,1995-02-20 18:00,5.8,0
90,속초,1995-02-20 21:00,.2,0
90,속초,1995-02-21 03:00,.1,0
90,속초,1995-02-25 21:00,0,0
90,속초,1995-02-26 00:00,.2,0
90,속초,1995-02-26 09:00,.3,0
90,속초,1995-02-26 12:00,.5,0
90,속초,1995-02-26 15:00,0,0
90,속초,1995-02-26 18:00,.8,0
90,속초,1995-02-26 21:00,.9,0
90,속초,1995-02-27 00:00,0,0
90,속초,1995-02-28 18:00,2.5,0
90,속초,1995-02-28 21:00,9.9,0
90,속초,1995-03-01 00:00,1.4,0
90,속초,1995-03-01 03:00,1.3,0
90,속초,1995-03-01 06:00,1.6,0
90,속초,1995-03-01 09:00,4.5,0
90,속초,1995-03-01 12:00,3.6,0
90,속초,1995-03-01 15:00,13,0
90,속초,1995-03-01 18:00,6,0
90,속초,1995-03-01 21:00,.3,0
90,속초,1995-03-03 15:00,0,0
90,속초,1995-03-03 18:00,.2,0
90,속초,1995-03-04 03:00,.7,0
90,속초,1995-03-04 06:00,4.7,0
90,속초,1995-03-04 09:00,.1,0
90,속초,1995-03-04 15:00,0,0
90,속초,1995-03-09 21:00,.7,0
90,속초,1995-03-10 00:00,2.3,0
90,속초,1995-03-10 03:00,1.8,0
90,속초,1995-03-10 06:00,.4,0
90,속초,1995-03-10 18:00,.4,0
90,속초,1995-03-10 21:00,.3,0
90,속초,1995-03-11 00:00,1.1,0
90,속초,1995-03-11 03:00,0,0
90,속초,1995-03-12 03:00,.8,0
90,속초,1995-03-12 06:00,2.1,0
90,속초,1995-03-12 09:00,.1,0
90,속초,1995-03-16 06:00,4.6,0
90,속초,1995-03-16 09:00,14.3,0
90,속초,1995-03-16 12:00,6.1,0
90,속초,1995-03-16 15:00,.5,0
90,속초,1995-03-18 18:00,.1,0
90,속초,1995-03-21 18:00,7.2,0
90,속초,1995-03-21 21:00,1.1,0
90,속초,1995-03-22 00:00,0,0
90,속초,1995-03-22 03:00,.1,0
90,속초,1995-03-22 06:00,.6,0
90,속초,1995-03-22 09:00,1.1,0
90,속초,1995-03-22 12:00,.8,0
90,속초,1995-03-22 15:00,.2,0
90,속초,1995-03-22 18:00,1.3,0
90,속초,1995-03-22 21:00,.1,0
90,속초,1995-03-23 09:00,1.8,0
90,속초,1995-03-23 12:00,.8,0
90,속초,1995-03-23 15:00,1.6,0
90,속초,1995-03-23 18:00,.2,0
90,속초,1995-03-23 21:00,4.3,0
90,속초,1995-03-24 00:00,.8,0
90,속초,1995-03-24 03:00,0,0
90,속초,1995-03-24 06:00,.2,0
90,속초,1995-03-24 09:00,3.9,0
90,속초,1995-03-24 12:00,3.7,0
90,속초,1995-03-24 15:00,2.8,0
90,속초,1995-03-24 18:00,3.7,0
90,속초,1995-03-24 21:00,2,0
90,속초,1995-03-25 00:00,.5,0
90,속초,1995-04-02 00:00,2,0
